Lon,Lat,Country
-112.46167057,45.67955203,United States of America
79.61197355,22.88578035,India
-53.09783199,-10.78777567,Brazil
96.68657347,61.98052168,Russia
2.53618475,46.18700581,France
-3.64754874,40.24448626,Spain
-2.86563362,54.12387156,United Kingdom
12.07000946,42.79663568,Italy
-65.17980881,-35.38135347,Argentina
-73.08114936,3.91383156,Colombia
-102.52345042,23.94753932,Mexico
10.38577693,51.10697903,Germany
19.39011841,52.12759537,Poland
54.27407071,32.57503287,Iran
-74.38242889,-9.15280281,Peru
25.08388384,-29.0003377,South Africa
31.38325794,48.99656784,Ukraine
4.64064572,50.63981435,Belgium
43.74353204,33.03970511,Iraq
-71.38255879,-37.73069754,Chile
117.24009764,-2.21505018,Indonesia
15.31240065,49.73341073,Czech Republic
5.2814735,52.10080804,Netherlands
35.16895529,39.06160342,Turkey
24.97293286,45.85242939,Romania
90.23812793,23.86730412,Bangladesh
122.88392153,11.77539737,Philippines
69.33958027,29.94975221,Pakistan
-98.307757230000007,61.36206827,Canada
-8.45616045,29.83762793,Morocco
44.53687041,24.12245467,Saudi Arabia
35.00444995,31.4611019,Israel
8.20866006,46.79785296,Switzerland
-8.50105506,39.59550247,Portugal
14.12647809,47.58549847,Austria
16.74371219,62.79232016,Sweden
83.9158367,28.24891362,Nepal
19.39559381,47.16277712,Hungary
36.77137251,31.24579389,Jordan
-78.75203573,-1.42381949,Ecuador
20.78958121,44.22150308,Republic of Serbia
67.29149657,48.15687954,Kazakhstan
54.30015737,23.90527175,United Arab Emirates
-80.11915152,8.5175119,Panama
138.03089212,37.59230065,Japan
25.21552327,42.76889988,Bulgaria
-64.6853892,-16.70814536,Bolivia
-70.50569086,18.8943308,Dominican Republic
43.50778995,42.16855944,Georgia
47.58699362,29.33431677,Kuwait
-84.19208786,9.9763424,Costa Rica
51.18478512,25.30600936,Qatar
28.03208711,53.53131155,Belarus
44.9299343,40.28952206,Armenia
16.40413079,45.08047284,Croatia
